Question Number,Link,Category
1,https://www.examtopics.com/discussions/oracle/view/87461-exam-1z0-819-topic-1-question-1-discussion/,Basics
2,https://www.examtopics.com/discussions/oracle/view/87127-exam-1z0-819-topic-1-question-2-discussion/,Basics
3,https://www.examtopics.com/discussions/oracle/view/87356-exam-1z0-819-topic-1-question-3-discussion/,OOP
4,https://www.examtopics.com/discussions/oracle/view/87471-exam-1z0-819-topic-1-question-4-discussion/,Basics
5,https://www.examtopics.com/discussions/oracle/view/95876-exam-1z0-819-topic-1-question-5-discussion/,Basics
6,https://www.examtopics.com/discussions/oracle/view/87132-exam-1z0-819-topic-1-question-6-discussion/,enums
7,https://www.examtopics.com/discussions/oracle/view/95880-exam-1z0-819-topic-1-question-7-discussion/,Basics
8,https://www.examtopics.com/discussions/oracle/view/109686-exam-1z0-819-topic-1-question-8-discussion/,Security
9,https://www.examtopics.com/discussions/oracle/view/95883-exam-1z0-819-topic-1-question-9-discussion/,Basics
10,https://www.examtopics.com/discussions/oracle/view/95884-exam-1z0-819-topic-1-question-10-discussion/,Collections/Streams/Generics/Functional Prog
11,https://www.examtopics.com/discussions/oracle/view/112593-exam-1z0-819-topic-1-question-11-discussion/,Unknown
12,https://www.examtopics.com/discussions/oracle/view/96787-exam-1z0-819-topic-1-question-12-discussion/,Collections/Streams/Generics/Functional Prog
13,https://www.examtopics.com/discussions/oracle/view/98212-exam-1z0-819-topic-1-question-13-discussion/,Collections/Streams/Generics/Functional Prog
14,https://www.examtopics.com/discussions/oracle/view/95905-exam-1z0-819-topic-1-question-14-discussion/,Exceptions Handling/optional
15,https://www.examtopics.com/discussions/oracle/view/87152-exam-1z0-819-topic-1-question-15-discussion/,Basics
16,https://www.examtopics.com/discussions/oracle/view/95944-exam-1z0-819-topic-1-question-16-discussion/,Annotations
17,https://www.examtopics.com/discussions/oracle/view/87180-exam-1z0-819-topic-1-question-17-discussion/,enums
18,https://www.examtopics.com/discussions/oracle/view/87476-exam-1z0-819-topic-1-question-18-discussion/,OOP
19,https://www.examtopics.com/discussions/oracle/view/108844-exam-1z0-819-topic-1-question-19-discussion/,Ressource bundle and Locales / Date API
20,https://www.examtopics.com/discussions/oracle/view/98215-exam-1z0-819-topic-1-question-20-discussion/,Ressource bundle and Locales / Date API
21,https://www.examtopics.com/discussions/oracle/view/111563-exam-1z0-819-topic-1-question-21-discussion/,Unknown
22,https://www.examtopics.com/discussions/oracle/view/87181-exam-1z0-819-topic-1-question-22-discussion/,Collections/Streams/Generics/Functional Prog
23,https://www.examtopics.com/discussions/oracle/view/87182-exam-1z0-819-topic-1-question-23-discussion/,Basics
24,https://www.examtopics.com/discussions/oracle/view/110259-exam-1z0-819-topic-1-question-24-discussion/,Collections/Streams/Generics/Functional Prog
25,https://www.examtopics.com/discussions/oracle/view/97571-exam-1z0-819-topic-1-question-25-discussion/,IO
26,https://www.examtopics.com/discussions/oracle/view/103456-exam-1z0-819-topic-1-question-26-discussion/,OOP
27,https://www.examtopics.com/discussions/oracle/view/92569-exam-1z0-819-topic-1-question-27-discussion/,Collections/Streams/Generics/Functional Prog
28,https://www.examtopics.com/discussions/oracle/view/92570-exam-1z0-819-topic-1-question-28-discussion/,Collections/Streams/Generics/Functional Prog
29,https://www.examtopics.com/discussions/oracle/view/92572-exam-1z0-819-topic-1-question-29-discussion/,OOP
30,https://www.examtopics.com/discussions/oracle/view/110612-exam-1z0-819-topic-1-question-30-discussion/,Collections/Streams/Generics/Functional Prog
31,https://www.examtopics.com/discussions/oracle/view/92573-exam-1z0-819-topic-1-question-31-discussion/,IO
32,https://www.examtopics.com/discussions/oracle/view/110613-exam-1z0-819-topic-1-question-32-discussion/,Unknown
33,https://www.examtopics.com/discussions/oracle/view/98378-exam-1z0-819-topic-1-question-33-discussion/,Collections/Streams/Generics/Functional Prog
34,https://www.examtopics.com/discussions/oracle/view/98377-exam-1z0-819-topic-1-question-34-discussion/,OOP
